±àºÅ,°ë¾¶,²âÊÔ½á¹û
0,316.171868638333,NG
1,311.415449220543,PASS
2,310.380396823749,NG
3,311.299974725996,PASS
4,313.43097410572,NG
5,311.929096461518,PASS
6,310.617489172062,NG
7,311.740760013889,PASS
0,316.171868638333,NG
0,316.171868638333,NG
1,311.415449220543,PASS
2,310.380396823749,NG
3,311.299974725996,PASS
4,313.43097410572,NG
5,311.929096461518,PASS
6,310.617489172062,NG
7,311.740760013889,PASS
0,316.171868638333,NG
1,311.415449220543,PASS
2,310.380396823749,NG
3,311.299974725996,PASS
4,313.43097410572,NG
